文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.05f\D4_750.wav,9.6295625,2.115921,3.6440737,1.9474714,2.3580068991591148,3.986069862326162,1.9602300444752219,2.4109864,1.4733224,1.5125357,3.2991834,2.0159323,2.020463,1.1192291
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.05f\D4_751.wav,7.2495625,2.2649267,3.7103927,2.0355735,2.5256859406885113,4.049750443738288,2.0489956760613808,2.6024795,1.294294,1.5409001,3.3315318,1.8696047,1.762136,1.2424452
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.05f\D4_752.wav,7.9395625,1.7744209,3.3234138,1.6526126,1.9687080554008045,3.6601601061128917,1.6820142559633864,2.4486535,0.8798885,1.4090859,2.4796224,1.8387042,1.6440173,1.000284
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.05f\D4_753.wav,8.5695625,1.6981558,3.2617047,1.5921018,1.88099686446766,3.5956339378101885,1.6308804085993085,2.5392787,1.0082058,1.496407,2.57468,1.8864377,1.8130527,0.9364009
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.05f\D4_754.wav,13.3795625,2.01978,3.6237814,1.8042912,2.248906801595357,3.9649078895163905,1.821745639421627,2.7299738,1.4573318,1.5428902,3.4117577,2.2031944,2.2545898,1.100948
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.05f\D4_755.wav,9.2495625,1.8444247,3.231888,1.8070903,2.0490474951281654,3.5643748758608766,1.8238443913226714,2.4013913,1.2704402,1.4638969,3.3095865,2.1134233,1.9808867,1.110529
