文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/Temp/sample_16k/sample_16k/传统\1-normal_enhanced_01.wav,19.775,4.1229234,4.31168,4.5735483,4.467958707826791,4.606615550315927,4.7135642332705245,4.1582866,4.195052,4.21188,4.26585,3.9154177,4.2777877,2.6117587
D:/Temp/sample_16k/sample_16k/传统\2-supernoisy_enhanced_01.wav,18.025,3.094097,4.0141854,3.0682092,3.4306792089693228,4.340037291757469,3.194308784240152,3.8187315,2.8138726,3.1336393,2.8596356,2.9178984,3.5995815,2.5518398
D:/Temp/sample_16k/sample_16k/传统\3-noisy_enhanced_01.wav,18.005,3.6771197,4.198855,3.8297336,4.0325609934807565,4.507723118099787,4.03698626323341,4.0031304,3.279728,3.2664297,3.647663,3.1845326,3.6085706,2.6214252
D:/Temp/sample_16k/sample_16k/传统\4-normal_enhanced_01.wav,42.45,3.7473364,4.0145473,4.4319997,4.1019061046643674,4.339976733760316,4.602699603069718,3.6268802,4.4193907,4.0593934,4.5033264,4.350014,4.2504473,2.0259511
