文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.03f\D4_750.wav,9.6295625,2.1219826,3.6736696,1.9348121,2.3648589095767214,4.015302246873204,1.947672929040057,2.394537,1.4621744,1.5003752,3.277253,2.0161397,2.0126636,1.0983768
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.03f\D4_751.wav,7.2495625,2.2529724,3.7036643,2.030264,2.5122940712491046,4.043225253959191,2.0435462968132114,2.6044717,1.294403,1.5392859,3.3314998,1.891197,1.7715955,1.2337945
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.03f\D4_752.wav,7.9395625,1.7947602,3.3821268,1.643609,1.9920280139079616,3.7209464295369266,1.674204894839346,2.439575,0.8771475,1.4089524,2.4786131,1.8442516,1.6492295,1.0004132
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.03f\D4_753.wav,8.5695625,1.6794806,3.244868,1.5757868,1.8594623860963253,3.577959522117406,1.617091763251792,2.5394807,1.0093042,1.4970772,2.575485,1.887158,1.8131325,0.9363891
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.03f\D4_754.wav,13.3795625,2.0355368,3.6419716,1.8162639,2.266800084998908,3.9829687945244894,1.8329762475685283,2.7369576,1.4619082,1.5413929,3.404676,2.2035842,2.2513173,1.1017059
D:/AudioSample/48khz/white/kBinSizeSpecFlat_0.03f\D4_755.wav,9.2495625,1.861139,3.2613761,1.8103473,2.0681786174522934,3.5953988721857746,1.826934666277765,2.409666,1.2710388,1.4663451,3.3203,2.1175866,1.9770782,1.115367
