文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/AudioSample/clean\D4_750.wav,9.625,3.8200176,4.3215046,3.9502184,4.174804382042427,4.615188996907176,4.160656805049408,4.183384,3.9134612,3.08095,4.4556646,3.8164363,4.157256,3.1905396
D:/AudioSample/clean\D4_751.wav,7.25,3.7122092,4.13901,4.00709,4.0662180297126636,4.453911359925139,4.2063257062002934,3.9629478,4.0054126,3.1945162,4.5220656,4.068879,4.203642,3.0376804
D:/AudioSample/clean\D4_752.wav,7.9375,3.778898,4.166865,4.1327085,4.133246632774121,4.479112892493304,4.332193704906913,3.695656,4.3354816,4.19268,4.590209,4.3544126,3.8719287,3.0055614
D:/AudioSample/clean\D4_753.wav,8.5625,3.3544905,4.0930552,3.5953178,3.7026285024572774,4.41131968602955,3.782378802451445,4.127055,4.09518,3.7335489,4.5125904,4.1791725,3.4060755,2.7129414
D:/AudioSample/clean\D4_754.wav,13.375,3.7644463,4.250379,3.9708204,4.119684510344461,4.553189795383284,4.179602989778097,4.1010313,3.6621234,3.1865947,3.6459143,3.5392475,2.8868906,2.9112787
D:/AudioSample/clean\D4_755.wav,9.25,3.7452126,4.341072,3.806452,4.100719682088361,4.632025396546986,4.013433625805668,4.1751304,3.3710835,3.1632268,3.0686119,3.4249845,3.7571013,2.9445128
