文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/AudioSample/car\D4_750.wav,9.625,3.0640402,4.344026,2.694408,3.3995581171009923,4.634560113952346,2.766654249352667,3.9052525,3.4430027,2.738371,3.8009863,3.5098634,3.7817838,2.4458356
D:/AudioSample/car\D4_751.wav,7.25,2.9697905,4.4679055,2.5787425,3.2990177663567843,4.739141300625802,2.6358429999767137,3.4962478,3.6105278,2.3771684,4.3230834,3.8081331,3.6489778,2.3095036
D:/AudioSample/car\D4_752.wav,7.9375,2.6700141,3.9663029,2.4513931,2.9744981109851367,4.295144109515728,2.493457921640587,3.369263,2.9604506,3.1568167,3.1802094,3.4099343,2.6705458,1.8840896
D:/AudioSample/car\D4_753.wav,8.5625,2.582168,4.0029397,2.3183491,2.877549840848915,4.328313142810917,2.348402698792927,3.9241066,3.2582567,2.3160746,4.3214693,3.5529304,2.9295108,1.8442707
D:/AudioSample/car\D4_754.wav,13.375,2.8200836,4.259449,2.4012432,3.137148397384631,4.560606562804143,2.439711921716072,3.877645,2.5000894,2.784055,2.4412644,2.8969786,3.2545073,2.379123
D:/AudioSample/car\D4_755.wav,9.25,2.657248,4.1860056,2.3140578,2.960754435255056,4.496428279307551,2.3425428070390737,3.872182,2.0835507,2.4849396,1.9864621,2.7330143,3.5154555,2.3369083
