文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/AudioSample/16khz/white\D4_750.wav,9.625,1.72049,3.8070502,1.366735,1.9067773318540473,4.145177932163641,1.4440748568835735,2.1356907,0.75173134,1.5258453,2.2276807,1.1125724,1.6034485,0.7199336
D:/AudioSample/16khz/white\D4_751.wav,7.25,1.7447758,3.8963635,1.346195,1.93467518798859,4.230226424749316,1.428680491599333,2.2286208,0.8233414,1.6437825,2.3253763,1.0959918,1.6188409,0.6547966
D:/AudioSample/16khz/white\D4_752.wav,7.9375,1.399684,3.7170372,1.0915886,1.53543943142483,4.057678810151859,1.2523857452457825,2.1113784,0.6430885,1.8118737,2.342185,1.1270089,1.3980298,0.5551715
D:/AudioSample/16khz/white\D4_753.wav,8.5625,1.4505377,3.614514,1.1741924,1.594552795582516,3.9553558940762517,1.305727270388416,2.1944702,0.6712257,1.8446417,2.4248211,1.1327047,1.4382154,0.45463628
D:/AudioSample/16khz/white\D4_754.wav,13.375,1.6818941,3.8430872,1.3187064,1.86229300321008,4.179177996455654,1.4079633815174502,2.196102,0.75266725,1.7234061,2.3435483,1.127595,1.5342937,0.6070969
D:/AudioSample/16khz/white\D4_755.wav,9.25,1.7501662,3.6928568,1.3870933,1.9409089284646677,4.0341745223985335,1.4597871003953127,2.1815865,0.7950935,1.757542,2.3273365,1.1201031,1.5720148,0.66421616
