文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\1_01.wav,18.624,3.9344096,4.3628163,4.172528,4.28372183034748,4.650236889860332,4.359019849728185,4.0579176,3.935778,3.188039,4.258765,3.7379262,4.2284145,2.6151648
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\2_01.wav,21.056,3.926071,4.3422494,4.169075,4.278366047878741,4.632759632726581,4.371197133260844,4.0764775,3.9699042,3.2147105,4.164274,3.8236694,4.2170596,2.854577
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\3_01.wav,16.96,3.6511536,4.326146,3.6886597,4.005829744664409,4.618966395710872,3.881258632725673,3.9933383,3.9817271,2.8560536,4.1908264,3.7931664,4.236754,2.6815753
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\4_01.wav,17.8773125,3.475515,4.5440907,3.178175,3.82803510964003,4.801595213991665,3.320290869017936,3.5747588,2.8825881,2.2141087,3.327032,3.063596,3.6394794,2.4854217
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\5_01.wav,17.856,3.7778378,4.3207617,3.8341,4.132648430990751,4.614299361994923,4.0398654245323105,3.9475455,3.316243,2.5419369,3.951295,3.2846441,3.7861438,2.7920954
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\6_01.wav,42.304,3.6831002,4.0750284,4.170807,4.037593075383535,4.395087965563828,4.369164854019256,3.66327,4.0552783,2.9741466,4.3792477,4.2172904,4.0687337,2.053272
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\7_01.wav,19.6266875,4.26393,4.3985305,4.65779,4.601013828305612,4.680853589035503,4.7789265090426465,4.1196127,4.240721,4.142856,4.259672,3.861632,4.346587,2.9215431
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\8_01.wav,19.0506875,4.100848,4.3102975,4.558657,4.447012069102708,4.6053277742864855,4.705464379936282,4.0023675,4.3508787,4.264775,4.399761,4.0189652,4.3993936,2.8361483
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-16000hz\9_01.wav,17.0666875,4.0587144,4.294767,4.5691957,4.40652193718094,4.5917280693002835,4.713349827405634,4.159239,4.624816,4.3506713,4.5540133,4.2444463,4.5251393,2.979807
