文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/Temp/sample_16k/sample_16k/AI_Current\1-normal_enhanced..wav,19.785,2.400458,2.5659986,3.75139,2.676408202521151,2.832610363625375,3.948142937138045,3.8638709,1.8096193,3.5544908,1.8149273,2.153835,3.2371588,1.9298507
D:/Temp/sample_16k/sample_16k/AI_Current\2-supernoisy_enhanced..wav,18.03,3.9147415,4.1887126,4.4078074,4.266877233634063,4.497051915626644,4.583855927253216,3.9216425,3.446889,3.86894,3.1870465,3.1257126,3.899746,2.6755347
D:/Temp/sample_16k/sample_16k/AI_Current\3-noisy_enhanced..wav,18.015,2.827999,3.5876825,3.1675801,3.142897469831403,3.9285879852843384,3.3017713926586536,4.0577593,2.177328,3.7452862,2.3028352,2.427811,3.3927896,1.932908
D:/Temp/sample_16k/sample_16k/AI_Current\4-normal_enhanced..wav,42.465,3.4429846,3.7441163,4.23705,3.790032126014966,4.077251548622767,4.421349862067936,3.579713,2.832365,3.8336737,2.4553707,3.072582,3.717296,1.548828
