文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/Temp/sample_16k/sample_16k/AI\1-normal_enhanced..wav,19.785,4.095844,4.287169,4.5737314,4.442323977487956,4.585414958822462,4.716555961406367,4.1148615,4.2510123,4.2272344,4.0926533,3.786027,4.281255,2.751439
D:/Temp/sample_16k/sample_16k/AI\2-supernoisy_enhanced..wav,18.03,4.013013,4.2557764,4.485753,4.36299618126202,4.55792555322387,4.648332001136696,3.9998245,3.4755402,3.968017,3.2423131,3.2252135,3.9661493,2.760833
D:/Temp/sample_16k/sample_16k/AI\3-noisy_enhanced..wav,18.015,4.077519,4.3183217,4.5353823,4.424697030281458,4.612286287659308,4.687004641928692,4.1438127,4.2567368,4.261335,4.348251,4.050623,4.3141866,2.6992009
D:/Temp/sample_16k/sample_16k/AI\4-normal_enhanced..wav,42.465,3.701328,4.066347,4.298174,4.055753668400142,4.3852132989738895,4.480184177240402,3.778293,4.418241,4.1675515,4.548089,4.3711405,4.246739,2.0348136
