文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/Temp/sample_16k/sample_16k/raw\1-normal.wav,19.6266875,4.26393,4.3985305,4.65779,4.601013828305612,4.680853589035503,4.7789265090426465,4.1196127,4.240721,4.142856,4.259672,3.861632,4.346587,2.9215431
D:/Temp/sample_16k/sample_16k/raw\2-supernoisy.wav,17.8773125,3.475515,4.5440907,3.178175,3.82803510964003,4.801595213991665,3.320290869017936,3.5747588,2.8825881,2.2141087,3.327032,3.063596,3.6394794,2.4854217
D:/Temp/sample_16k/sample_16k/raw\3-noisy.wav,17.856,3.7778378,4.3207617,3.8341,4.132648430990751,4.614299361994923,4.0398654245323105,3.9475455,3.316243,2.5419369,3.951295,3.2846441,3.7861438,2.7920954
D:/Temp/sample_16k/sample_16k/raw\4-normal.wav,42.304,3.6831002,4.0750284,4.170807,4.037593075383535,4.395087965563828,4.369164854019256,3.66327,4.0552783,2.9741466,4.3792477,4.2172904,4.0687337,2.053272
