文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\1.wav,18.6298125,2.691709,3.0462196,3.77499,2.9973361931784863,3.364948968997259,3.9734041824991215,2.6931489,0.762898,2.4187846,1.3043303,1.6852264,2.2483175,1.080854
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\2.wav,21.0598125,2.8801358,3.0998669,4.202661,3.2021911780130954,3.4228815508851356,4.4028308045657285,2.8255193,0.7254184,2.261295,1.2564209,1.5675783,1.9213126,1.1411389
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\3.wav,16.9598125,3.121199,3.495982,3.9939332,3.459084649286244,3.83707645970497,4.193975120723801,2.567106,0.82480186,2.5802853,1.2868574,1.707203,2.339947,1.0897188
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\4.wav,17.8798125,2.0774386,2.6863384,2.9564054,2.3143732547809397,2.9689995616156217,3.066567670697752,2.7664838,0.68350023,1.9427642,1.2166121,1.5262116,2.1208236,1.1522957
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\5.wav,17.8598125,2.3776078,2.9764943,3.32467,2.650525408249976,3.2900121720303024,3.4825150011010915,2.6839352,0.71935076,2.5582304,1.2846491,1.672565,2.3598998,1.1297837
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\6.wav,42.3098125,2.021909,2.8656256,2.6258402,2.250433354146806,3.1538114932013706,2.71051718218576,2.3995152,0.90735507,1.5059676,1.3603802,1.5823237,1.7805555,1.2389477
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\7.wav,19.6298125,3.2305853,3.4912484,4.170839,3.574930835810757,3.8322680449096937,4.370473059198733,2.9150982,0.8940123,2.194086,1.4042199,1.8407634,2.671178,1.2511232
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\8.wav,19.0598125,3.3132608,3.739109,3.9737165,3.6609735063686837,4.078938659517695,4.17097798635466,2.7154796,0.9456311,2.2212505,1.4663639,1.8211632,2.5662487,1.2154849
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz/kBinSizeSpecFlat_0.05f\9.wav,17.0698125,3.0546913,3.413954,3.9253123,3.388910746946878,3.7534566520858297,4.124922113241946,2.808016,0.8625744,2.050587,1.395643,1.8171914,2.467489,1.1956838
